tta_0,d_0,a_values,is_gap_accepted,RT_merge,RT_wait,subj_id
4.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, 4, 4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, 4, -4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, -4, 4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,70.0,"(0.0, -4, -4, 0.0)",0.16186327056704627,0.7655066137593628,1.099367854483537,all
4.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, 4, 4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, 4, -4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, -4, 4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,80.0,"(0.0, -4, -4, 0.0)",0.18398689073720892,0.771347161883407,1.1355051623501475,all
4.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, 4, 4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, 4, -4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, -4, 4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.0,90.0,"(0.0, -4, -4, 0.0)",0.20802495866105009,0.7764330988297214,1.1721000042260499,all
4.25,70.0,"(0.0, 0.0, 0.0, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, 4, 4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, 4, -4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, -4, 4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,70.0,"(0.0, -4, -4, 0.0)",0.1950187581687388,0.7982392179651224,1.1868413903275288,all
4.25,80.0,"(0.0, 0.0, 0.0, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, 4, 4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, 4, -4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, -4, 4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,80.0,"(0.0, -4, -4, 0.0)",0.22056603617456444,0.8034770360128533,1.2257818984300979,all
4.25,90.0,"(0.0, 0.0, 0.0, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, 4, 4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, 4, -4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, -4, 4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.25,90.0,"(0.0, -4, -4, 0.0)",0.2480550723957127,0.8078244875228705,1.2650559238200076,all
4.5,70.0,"(0.0, 0.0, 0.0, 0.0)",0.23512760784330267,0.8281865433570497,1.2749058560129756,all
4.5,70.0,"(0.0, 4, 4, 0.0)",0.23512760784330267,0.8281865433570497,1.2749058560129756,all
4.5,70.0,"(0.0, 4, -4, 0.0)",0.23512760784330267,0.8281865433570497,1.2749058560129756,all
4.5,70.0,"(0.0, -4, 4, 0.0)",0.23512760784330267,0.8281865433570497,1.2749058560129756,all
4.5,70.0,"(0.0, -4, -4, 0.0)",0.23512760784330267,0.8281865433570497,1.2749058560129756,all
4.5,80.0,"(0.0, 0.0, 0.0, 0.0)",0.26426186065863894,0.8325034168137854,1.3161820383034897,all
4.5,80.0,"(0.0, 4, 4, 0.0)",0.26426186065863894,0.8325034168137854,1.3161820383034897,all
4.5,80.0,"(0.0, 4, -4, 0.0)",0.26426186065863894,0.8325034168137854,1.3161820383034897,all
4.5,80.0,"(0.0, -4, 4, 0.0)",0.26426186065863894,0.8325034168137854,1.3161820383034897,all
4.5,80.0,"(0.0, -4, -4, 0.0)",0.26426186065863894,0.8325034168137854,1.3161820383034897,all
4.5,90.0,"(0.0, 0.0, 0.0, 0.0)",0.2952453964199726,0.8357819610077729,1.3576160220665412,all
4.5,90.0,"(0.0, 4, 4, 0.0)",0.2952453964199726,0.8357819610077729,1.3576160220665412,all
4.5,90.0,"(0.0, 4, -4, 0.0)",0.2952453964199726,0.8357819610077729,1.3576160220665412,all
4.5,90.0,"(0.0, -4, 4, 0.0)",0.2952453964199726,0.8357819610077729,1.3576160220665412,all
4.5,90.0,"(0.0, -4, -4, 0.0)",0.2952453964199726,0.8357819610077729,1.3576160220665412,all
4.75,70.0,"(0.0, 0.0, 0.0, 0.0)",0.28103494178085797,0.8570861170197365,1.3687505477463486,all
4.75,70.0,"(0.0, 4, 4, 0.0)",0.28103494178085797,0.8570861170197365,1.3687505477463486,all
4.75,70.0,"(0.0, 4, -4, 0.0)",0.28103494178085797,0.8570861170197365,1.3687505477463486,all
4.75,70.0,"(0.0, -4, 4, 0.0)",0.28103494178085797,0.8570861170197365,1.3687505477463486,all
4.75,70.0,"(0.0, -4, -4, 0.0)",0.28103494178085797,0.8570861170197365,1.3687505477463486,all
4.75,80.0,"(0.0, 0.0, 0.0, 0.0)",0.31365117221249744,0.8601501219415366,1.4121162786336974,all
4.75,80.0,"(0.0, 4, 4, 0.0)",0.31365117221249744,0.8601501219415366,1.4121162786336974,all
4.75,80.0,"(0.0, 4, -4, 0.0)",0.31365117221249744,0.8601501219415366,1.4121162786336974,all
4.75,80.0,"(0.0, -4, 4, 0.0)",0.31365117221249744,0.8601501219415366,1.4121162786336974,all
4.75,80.0,"(0.0, -4, -4, 0.0)",0.31365117221249744,0.8601501219415366,1.4121162786336974,all
4.75,90.0,"(0.0, 0.0, 0.0, 0.0)",0.3478832489260385,0.8620168324461858,1.4554370310474758,all
4.75,90.0,"(0.0, 4, 4, 0.0)",0.3478832489260385,0.8620168324461858,1.4554370310474758,all
4.75,90.0,"(0.0, 4, -4, 0.0)",0.3478832489260385,0.8620168324461858,1.4554370310474758,all
4.75,90.0,"(0.0, -4, 4, 0.0)",0.3478832489260385,0.8620168324461858,1.4554370310474758,all
4.75,90.0,"(0.0, -4, -4, 0.0)",0.3478832489260385,0.8620168324461858,1.4554370310474758,all
5.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.3326078016688099,0.8843223131725123,1.468076568194745,all
5.0,70.0,"(0.0, 4, 4, 0.0)",0.3326078016688099,0.8843223131725123,1.468076568194745,all
5.0,70.0,"(0.0, 4, -4, 0.0)",0.3326078016688099,0.8843223131725123,1.468076568194745,all
5.0,70.0,"(0.0, -4, 4, 0.0)",0.3326078016688099,0.8843223131725123,1.468076568194745,all
5.0,70.0,"(0.0, -4, -4, 0.0)",0.3326078016688099,0.8843223131725123,1.468076568194745,all
5.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.3683668365707807,0.8857686172465279,1.5131935162164871,all
5.0,80.0,"(0.0, 4, 4, 0.0)",0.3683668365707807,0.8857686172465279,1.5131935162164871,all
5.0,80.0,"(0.0, 4, -4, 0.0)",0.3683668365707807,0.8857686172465279,1.5131935162164871,all
5.0,80.0,"(0.0, -4, 4, 0.0)",0.3683668365707807,0.8857686172465279,1.5131935162164871,all
5.0,80.0,"(0.0, -4, -4, 0.0)",0.3683668365707807,0.8857686172465279,1.5131935162164871,all
5.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.40534805639412447,0.8858518615642769,1.558035367764252,all
5.0,90.0,"(0.0, 4, 4, 0.0)",0.40534805639412447,0.8858518615642769,1.558035367764252,all
5.0,90.0,"(0.0, 4, -4, 0.0)",0.40534805639412447,0.8858518615642769,1.558035367764252,all
5.0,90.0,"(0.0, -4, 4, 0.0)",0.40534805639412447,0.8858518615642769,1.558035367764252,all
5.0,90.0,"(0.0, -4, -4, 0.0)",0.40534805639412447,0.8858518615642769,1.558035367764252,all
5.25,70.0,"(0.0, 0.0, 0.0, 0.0)",0.38933220382850026,0.9092001279851321,1.5723583126014296,all
5.25,70.0,"(0.0, 4, 4, 0.0)",0.38933220382850026,0.9092001279851321,1.5723583126014296,all
5.25,70.0,"(0.0, 4, -4, 0.0)",0.38933220382850026,0.9092001279851321,1.5723583126014296,all
5.25,70.0,"(0.0, -4, 4, 0.0)",0.38933220382850026,0.9092001279851321,1.5723583126014296,all
5.25,70.0,"(0.0, -4, -4, 0.0)",0.38933220382850026,0.9092001279851321,1.5723583126014296,all
5.25,80.0,"(0.0, 0.0, 0.0, 0.0)",0.4276257184427979,0.9086381856884858,1.6188071694140145,all
5.25,80.0,"(0.0, 4, 4, 0.0)",0.4276257184427979,0.9086381856884858,1.6188071694140145,all
5.25,80.0,"(0.0, 4, -4, 0.0)",0.4276257184427979,0.9086381856884858,1.6188071694140145,all
5.25,80.0,"(0.0, -4, 4, 0.0)",0.4276257184427979,0.9086381856884858,1.6188071694140145,all
5.25,80.0,"(0.0, -4, -4, 0.0)",0.4276257184427979,0.9086381856884858,1.6188071694140145,all
5.25,90.0,"(0.0, 0.0, 0.0, 0.0)",0.46658397641682975,0.9065469510881631,1.6647012547660431,all
5.25,90.0,"(0.0, 4, 4, 0.0)",0.46658397641682975,0.9065469510881631,1.6647012547660431,all
5.25,90.0,"(0.0, 4, -4, 0.0)",0.46658397641682975,0.9065469510881631,1.6647012547660431,all
5.25,90.0,"(0.0, -4, 4, 0.0)",0.46658397641682975,0.9065469510881631,1.6647012547660431,all
5.25,90.0,"(0.0, -4, -4, 0.0)",0.46658397641682975,0.9065469510881631,1.6647012547660431,all
5.5,70.0,"(0.0, 0.0, 0.0, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, 4, 4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, 4, -4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, -4, 4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,70.0,"(0.0, -4, -4, 0.0)",0.45025437444971667,0.9309580690292987,1.6808319525567308,all
5.5,80.0,"(0.0, 0.0, 0.0, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, 4, 4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, 4, -4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, -4, 4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,80.0,"(0.0, -4, -4, 0.0)",0.49019617332111126,0.9279827201814933,1.7280547087226037,all
5.5,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, 4, 4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, 4, -4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, -4, 4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.5,90.0,"(0.0, -4, -4, 0.0)",0.5301002420828458,0.9233213320637732,1.7743893224898373,all
5.75,70.0,"(0.0, 0.0, 0.0, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, 4, 4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, 4, -4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, -4, 4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,70.0,"(0.0, -4, -4, 0.0)",0.512567515764923,0.9518252338303413,1.802652843390558,all
5.75,80.0,"(0.0, 0.0, 0.0, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, 4, 4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, 4, -4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, -4, 4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,80.0,"(0.0, -4, -4, 0.0)",0.5531135101935476,0.9460413045181647,1.8503791717628875,all
5.75,90.0,"(0.0, 0.0, 0.0, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, 4, 4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, 4, -4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, -4, 4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
5.75,90.0,"(0.0, -4, -4, 0.0)",0.5928375798840444,0.9384323634185512,1.8968378223967495,all
6.0,70.0,"(0.0, 0.0, 0.0, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, 4, 4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, 4, -4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, -4, 4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,70.0,"(0.0, -4, -4, 0.0)",0.5774120600341582,0.964981442626976,1.9161443863922143,all
6.0,80.0,"(0.0, 0.0, 0.0, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, 4, 4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, 4, -4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, -4, 4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,80.0,"(0.0, -4, -4, 0.0)",0.6171887279275713,0.9560023059625984,1.9630125459098207,all
6.0,90.0,"(0.0, 0.0, 0.0, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, 4, 4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, 4, -4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, -4, 4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
6.0,90.0,"(0.0, -4, -4, 0.0)",0.6553064841684912,0.9451051867868973,2.0081535164590396,all
